ClusterGroup,Date,WeekDay,Month
0,2016-10-16,Sunday,10
0,2016-06-26,Sunday,6
0,2016-06-12,Sunday,6
0,2016-11-01,Tuesday,11
0,2016-12-25,Sunday,12
0,2016-07-17,Sunday,7
0,2016-11-20,Sunday,11
0,2016-01-06,Wednesday,1
0,2016-12-26,Monday,12
0,2016-07-31,Sunday,7
0,2016-01-10,Sunday,1
0,2016-05-29,Sunday,5
0,2016-09-18,Sunday,9
0,2016-11-27,Sunday,11
0,2016-01-31,Sunday,1
0,2016-01-24,Sunday,1
0,2016-10-09,Sunday,10
0,2016-01-03,Sunday,1
0,2016-01-01,Friday,1
0,2016-05-15,Sunday,5
0,2016-11-13,Sunday,11
0,2016-06-19,Sunday,6
0,2016-06-05,Sunday,6
0,2016-11-06,Sunday,11
0,2016-10-23,Sunday,10
0,2016-07-03,Sunday,7
0,2016-12-18,Sunday,12
0,2016-12-04,Sunday,12
0,2016-09-25,Sunday,9
0,2016-02-14,Sunday,2
0,2016-09-04,Sunday,9
0,2016-05-08,Sunday,5
0,2016-09-11,Sunday,9
0,2016-01-17,Sunday,1
0,2016-05-22,Sunday,5
0,2016-02-07,Sunday,2
1,2016-02-05,Friday,2
1,2016-01-15,Friday,1
1,2016-09-20,Tuesday,9
1,2016-09-12,Monday,9
1,2016-02-02,Tuesday,2
1,2016-09-14,Wednesday,9
1,2016-09-21,Wednesday,9
1,2016-05-16,Monday,5
1,2016-09-15,Thursday,9
1,2016-10-28,Friday,10
1,2016-05-11,Wednesday,5
1,2016-05-18,Wednesday,5
1,2016-05-05,Thursday,5
1,2016-09-22,Thursday,9
2,2016-05-06,Friday,5
2,2016-11-18,Friday,11
2,2016-01-25,Monday,1
2,2016-01-12,Tuesday,1
2,2016-01-14,Thursday,1
2,2016-09-13,Tuesday,9
2,2016-11-25,Friday,11
2,2016-05-09,Monday,5
2,2016-01-21,Thursday,1
2,2016-01-22,Friday,1
2,2016-11-11,Friday,11
2,2016-05-04,Wednesday,5
2,2016-09-19,Monday,9
2,2016-12-15,Thursday,12
2,2016-12-02,Friday,12
3,2016-01-16,Saturday,1
3,2016-01-09,Saturday,1
3,2016-01-30,Saturday,1
3,2016-06-11,Saturday,6
3,2016-12-17,Saturday,12
3,2016-12-03,Saturday,12
3,2016-11-12,Saturday,11
3,2016-09-17,Saturday,9
3,2016-10-15,Saturday,10
3,2016-11-26,Saturday,11
3,2016-02-13,Saturday,2
3,2016-02-06,Saturday,2
3,2016-05-28,Saturday,5
3,2016-01-02,Saturday,1
3,2016-10-29,Saturday,10
3,2016-10-22,Saturday,10
3,2016-05-14,Saturday,5
3,2016-06-04,Saturday,6
3,2016-07-02,Saturday,7
3,2016-11-05,Saturday,11
3,2016-11-19,Saturday,11
3,2016-12-24,Saturday,12
3,2016-12-31,Saturday,12
3,2016-01-23,Saturday,1
4,2016-01-27,Wednesday,1
4,2016-05-10,Tuesday,5
4,2016-11-09,Wednesday,11
4,2016-12-12,Monday,12
4,2016-10-17,Monday,10
4,2016-11-08,Tuesday,11
4,2016-01-13,Wednesday,1
4,2016-11-22,Tuesday,11
4,2016-11-15,Tuesday,11
4,2016-02-12,Friday,2
4,2016-09-27,Tuesday,9
4,2016-10-12,Wednesday,10
4,2016-11-14,Monday,11
4,2016-01-19,Tuesday,1
4,2016-10-19,Wednesday,10
4,2016-11-17,Thursday,11
4,2016-11-29,Tuesday,11
4,2016-10-18,Tuesday,10
4,2016-11-16,Wednesday,11
4,2016-11-30,Wednesday,11
4,2016-01-26,Tuesday,1
4,2016-11-04,Friday,11
5,2016-07-05,Tuesday,7
5,2016-06-30,Thursday,6
5,2016-05-26,Thursday,5
5,2016-07-15,Friday,7
5,2016-07-14,Thursday,7
5,2016-07-04,Monday,7
5,2016-06-06,Monday,6
5,2016-06-20,Monday,6
5,2016-06-23,Thursday,6
5,2016-06-15,Wednesday,6
5,2016-05-12,Thursday,5
5,2016-06-14,Tuesday,6
5,2016-10-07,Friday,10
5,2016-06-29,Wednesday,6
5,2016-06-07,Tuesday,6
5,2016-06-09,Thursday,6
5,2016-07-01,Friday,7
5,2016-10-20,Thursday,10
5,2016-05-19,Thursday,5
5,2016-06-17,Friday,6
5,2016-09-08,Thursday,9
5,2016-06-10,Friday,6
5,2016-09-16,Friday,9
5,2016-06-01,Wednesday,6
5,2016-07-28,Thursday,7
5,2016-07-29,Friday,7
5,2016-12-14,Wednesday,12
6,2016-11-24,Thursday,11
6,2016-10-31,Monday,10
6,2016-08-01,Monday,8
6,2016-08-04,Thursday,8
6,2016-08-03,Wednesday,8
6,2016-06-21,Tuesday,6
6,2016-05-17,Tuesday,5
6,2016-07-27,Wednesday,7
6,2016-05-24,Tuesday,5
6,2016-07-06,Wednesday,7
6,2016-09-05,Monday,9
6,2016-07-19,Tuesday,7
6,2016-08-05,Friday,8
6,2016-09-02,Friday,9
6,2016-09-07,Wednesday,9
6,2016-07-12,Tuesday,7
6,2016-07-13,Wednesday,7
6,2016-07-26,Tuesday,7
6,2016-08-02,Tuesday,8
6,2016-07-18,Monday,7
6,2016-09-09,Friday,9
6,2016-06-28,Tuesday,6
6,2016-07-25,Monday,7
6,2016-09-06,Tuesday,9
7,2016-12-08,Thursday,12
7,2016-10-10,Monday,10
7,2016-06-24,Friday,6
7,2016-12-09,Friday,12
7,2016-01-18,Monday,1
7,2016-12-27,Tuesday,12
7,2016-01-05,Tuesday,1
7,2016-10-11,Tuesday,10
7,2016-01-04,Monday,1
7,2016-12-30,Friday,12
7,2016-11-23,Wednesday,11
7,2016-12-21,Wednesday,12
7,2016-10-30,Sunday,10
7,2016-12-06,Tuesday,12
7,2016-10-13,Thursday,10
7,2016-12-23,Friday,12
7,2016-12-29,Thursday,12
8,2016-11-03,Thursday,11
8,2016-10-27,Thursday,10
8,2016-11-28,Monday,11
8,2016-01-28,Thursday,1
8,2016-09-26,Monday,9
8,2016-11-07,Monday,11
8,2016-12-28,Wednesday,12
8,2016-01-20,Wednesday,1
8,2016-12-05,Monday,12
8,2016-10-24,Monday,10
8,2016-01-07,Thursday,1
8,2016-10-25,Tuesday,10
8,2016-02-03,Wednesday,2
8,2016-11-21,Monday,11
9,2016-02-01,Monday,2
9,2016-01-08,Friday,1
9,2016-05-30,Monday,5
9,2016-12-13,Tuesday,12
9,2016-01-11,Monday,1
9,2016-02-10,Wednesday,2
9,2016-02-15,Monday,2
9,2016-11-02,Wednesday,11
9,2016-02-08,Monday,2
9,2016-06-13,Monday,6
9,2016-10-14,Friday,10
9,2016-06-27,Monday,6
9,2016-06-22,Wednesday,6
9,2016-12-19,Monday,12
9,2016-02-04,Thursday,2
9,2016-12-22,Thursday,12
9,2016-12-20,Tuesday,12
9,2016-12-07,Wednesday,12
9,2016-05-31,Tuesday,5
9,2016-02-11,Thursday,2
9,2016-02-09,Tuesday,2
